IDN,NEFNNR,NEFNR,NEFPR,NEFPPR,NEFNENR,NEFNCR,NEFPCR,NEFER,NEFECR,NITDR,NITFR,NITAR,NITMR,NITCDFR,NITCFAR,NITER,NITAIR,NITCFAIR,NITEIR,NPDRR,NPDDR,NAMBR,NAFR,NIPPR,NIPDR,NIDGR,NIDPR,NIDDR,NTRANS,NINTER
240510_06_BC109_SC.XLSX,0.0,0.0,0.1,0.0,0.9,0.0,0.1,0.1,0.1,0.2,0.2,0.6,0.0,0.4,0.8,0.4,0.6,0.8,0.4,0.0,0.0,0.1,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0
240510_07_BC102_SZ.XLSX,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,1.0,0.1,-0.9,0.0,0.1,-0.9,0.2,0.0,0.1,0.7,0.0,0.3,0.0,0.0,0.1,0.0,0.0
240510_07_BC106_AB.XLSX,0.0,0.1,0.3,0.1,0.5,0.1,0.4,0.4,0.3,0.6,0.4,0.0,0.0,1.0,0.4,-0.6,0.0,0.4,-0.6,0.4,0.5,0.0,0.1,0.5,0.0,0.0,0.0,0.3,0.0,3.0
240510_07_BC110_SC.XLSX,0.0,0.1,0.1,0.0,0.8,0.1,0.1,0.0,0.0,0.7,0.2,0.1,0.0,0.9,0.3,-0.6,0.1,0.3,-0.6,0.0,0.3,0.4,0.6,0.1,0.0,0.0,0.0,0.1,0.0,0.0
240513_01_AA402_LL.XLSX,0.4,0.0,0.0,0.0,0.6,0.4,0.0,-0.8,-0.4,0.0,0.4,0.6,0.0,0.4,1.0,0.6,0.6,1.0,0.6,0.0,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.0
240513_01_AA408_LM.XLSX,0.0,0.0,0.4,0.2,0.4,0.0,0.6,0.8,0.6,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.0,0.0,0.0,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0
240513_01_AA411_PVM.XLSX,0.0,0.1,0.2,0.0,0.7,0.1,0.2,0.1,0.1,0.0,0.4,0.6,0.0,0.4,1.0,0.6,0.6,1.0,0.6,0.0,0.0,0.6,0.9,0.5,0.0,0.0,0.1,0.0,0.0,0.0
240513_02_AA403_LM.XLSX,0.0,0.0,0.4,0.2,0.4,0.0,0.6,0.8,0.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.7,0.0,0.0,0.0,0.0,0.0
240513_02_AA404_LL.XLSX,0.0,0.2,0.2,0.2,0.4,0.2,0.4,0.4,0.2,0.4,0.5,0.1,0.0,0.9,0.6,-0.3,0.1,0.6,-0.3,0.1,0.0,0.3,0.4,0.5,0.3,0.0,0.0,0.0,0.0,0.0
240513_02_AA405_PVM.XLSX,0.0,0.1,0.4,0.1,0.5,0.1,0.5,0.4,0.3,0.3,0.6,0.1,0.0,0.9,0.7,-0.2,0.1,0.7,-0.2,0.0,0.0,0.2,0.8,0.6,0.2,0.0,0.0,0.0,0.0,0.0
240513_03_AA401_PVM.XLSX,0.0,0.3,0.5,0.1,0.1,0.3,0.6,0.4,0.3,0.7,0.2,0.0,0.1,0.9,0.2,-0.7777777777777778,0.1,0.3,-0.6,0.8,0.2,0.0,0.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0
240513_03_AA406_LL.XLSX,0.0,0.1,0.3,0.4,0.5,0.1,0.5,0.6,0.3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.9,0.1,0.7,0.2,0.0,0.0,0.0,0.0,0.0
240513_03_AA406_LM.XLSX,0.0,0.1,0.3,0.1,0.5,0.1,0.4,0.4,0.3,0.0,0.7,0.3,0.0,0.7,1.0,0.3,0.3,1.0,0.3,0.0,0.1,1.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0
240513_04_AA407_LM.XLSX,0.0,0.1,0.5,0.3,0.1,0.1,0.8,1.0,0.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
240513_04_AA409_PVM.XLSX,0.0,0.0,0.3,0.4,0.3,0.0,0.7,1.1,0.7,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.0,0.7,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0
240513_04_AA412_LL.XLSX,0.0,0.0,0.2,0.0,0.8,0.0,0.2,0.2,0.2,0.0,0.3,0.7,0.0,0.3,1.0,0.7,0.7,1.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0
240513_05_AA303_PVM.XLSX,0.0,0.0,0.3,0.7,0.0,0.0,1.0,1.7,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3,0.4,0.2,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
240513_05_AA304_LL.XLSX,0.0,0.0,0.0,0.6,0.4,0.0,0.6,1.2,0.6,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,1.0,0.2,0.3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0
240513_05_AA306_LM.XLSX,0.0,0.3,0.3,0.4,0.0,0.3,0.7,0.8,0.4,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
240514_01_AB406_AB.XLSX,0.0,0.2,0.0,0.0,0.8,0.2,0.0,-0.2,-0.2,0.0,0.4,0.6,0.0,0.4,1.0,0.6,0.6,1.0,0.6,0.1,0.2,0.3,0.9,0.1,0.6,0.0,0.0,0.3,0.0,0.0
240514_02_AB410_AB.XLSX,0.0,0.1,0.0,0.0,0.9,0.1,0.0,-0.1,-0.1,0.1,0.1,0.8,0.0,0.2,0.9,0.7,0.8,0.9,0.7,0.0,0.2,0.1,0.2,0.5,0.1,0.0,0.0,0.0,0.0,4.0
240514_03_AB401_KL.XLSX,0.0,0.2,0.0,0.0,0.8,0.2,0.0,-0.2,-0.2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.0,2.0
240514_03_AB402_AB.XLSX,0.2,0.0,0.6,0.7,0.0,0.2,1.0,1.0,0.6,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
240514_04_AB403_AB.XLSX,0.0,0.0,0.1,0.0,0.9,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
240514_04_AB405_KL.XLSX,0.0,0.0,0.6,0.2,0.4,0.0,0.6,0.8,0.6,0.1,0.6,0.7,0.4,0.7,0.9,0.3333333333333333,0.7,0.9,0.6,0.0,0.0,0.5,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
240514_05_AB408_AB.XLSX,0.0,0.1,0.4,0.1,0.5,0.1,0.5,0.4,0.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0
240514_05_AB408_KL.XLSX,0.0,0.1,0.5,0.0,0.5,0.1,0.5,0.3,0.3,0.0,0.3,0.8,0.1,0.3,1.0,0.7777777777777778,0.8,1.0,0.8,0.0,0.2,0.1,0.1,0.6,0.2,0.0,0.0,0.0,0.0,3.0
240514_06_AB407_KL.XLSX,0.0,0.1,0.5,0.4,0.2,0.1,0.7,1.0,0.6,0.0,0.0,0.7,0.3,0.0,0.7,1.0,1.0,1.0,1.0,0.2,0.6,0.0,0.0,0.4,0.6,0.1,0.1,0.2,0.0,0.0
240514_06_AB409_AB.XLSX,0.0,0.1,0.1,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.0,0.4,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0
240515_01_BA301_SC.XLSX,0.2,0.0,0.0,0.0,0.8,0.2,0.0,-0.4,-0.2,0.1,0.5,0.4,0.0,0.6,0.9,0.3,0.4,0.9,0.3,0.0,0.2,0.4,0.0,0.4,0.1,0.0,0.1,0.0,0.0,0.0
240515_01_BA302_JF.XLSX,0.1,0.1,0.5,0.1,0.4,0.2,0.5,0.2,0.2,0.0,0.2,0.8,0.0,0.2,1.0,0.8,0.8,1.0,0.8,0.0,0.3,0.3,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0
240515_01_BA302_LL.XLSX,0.0,0.0,0.3,0.3,0.7,0.0,0.3,0.6,0.3,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.0,0.2,0.3,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0
240515_02_BA307_LL.XLSX,0.3,0.0,0.0,0.0,0.7,0.3,0.0,-0.6,-0.3,0.1,0.8,0.1,0.0,0.9,0.9,0.0,0.1,0.9,0.0,0.0,0.9,0.2,0.2,0.2,0.0,0.0,0.3,0.0,0.0,0.0
240515_02_BA309_JF.XLSX,0.2,0.3,0.1,0.0,0.5,0.4,0.1,-0.5,-0.3,0.0,0.2,0.8,0.0,0.2,1.0,0.8,0.8,1.0,0.8,0.0,0.3,0.0,0.1,0.7,0.1,0.0,0.1,0.0,0.0,0.0
240515_02_BA316_SC.XLSX,0.0,0.0,0.5,0.4,0.1,0.0,0.9,1.3,0.9,0.0,0.9,0.1,0.0,0.9,1.0,0.1,0.1,1.0,0.1,0.0,0.3,0.3,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0
240515_03_BA313_LL.XLSX,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.2,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0
240515_03_BA317_JF.XLSX,0.3,0.3,0.1,0.1,0.3,0.6,0.2,-0.8,-0.5,0.0,0.2,0.8,0.0,0.2,1.0,0.8,0.8,1.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.0,0.0
240515_03_BA317_SC.XLSX,0.3,0.0,0.2,0.1,0.4,0.3,0.3,-0.2,0.0,0.0,0.1,0.9,0.0,0.1,1.0,0.9,0.9,1.0,0.9,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.2,0.0,0.0
240515_04_BA310_JF.XLSX,0.1,0.7,0.2,0.0,0.1,0.7,0.2,-0.6,-0.5,0.2,0.3,0.5,0.0,0.5,0.8,0.3,0.5,0.8,0.3,0.0,0.8,0.3,0.0,0.5,0.1,0.3,0.0,0.0,0.0,0.0
240515_04_BA311_SC.XLSX,0.2,0.1,0.2,0.0,0.6,0.3,0.2,-0.4,-0.2,0.3,0.3,0.3,0.1,0.6,0.6,0.0,0.4,0.7,0.1,0.1,0.5,0.3,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0
240515_04_BA318_LL.XLSX,1.0,0.1,0.0,0.4,0.0,1.0,0.4,-2.0,-1.0,0.0,0.8,0.2,0.0,0.8,1.0,0.2,0.2,1.0,0.2,0.0,0.9,0.2,0.0,0.4,0.2,0.1,0.9,0.2,0.0,0.0
240515_05_BA308_JF.XLSX,0.3,0.3,0.5,0.0,0.2,0.5,0.5,-0.5,-0.2,0.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.5,0.1,0.6,0.2,0.0,0.8,0.2,0.1,0.1,0.0,0.0,0.0
240515_05_BA308_SC.XLSX,0.2,0.2,0.4,0.0,0.2,0.4,0.4,-0.2,0.0,0.0,0.3,0.7,0.0,0.3,1.0,0.7,0.7,1.0,0.7,0.0,0.3,0.0,0.0,0.6,0.3,0.0,0.1,0.0,0.0,0.0
240515_05_BA312_LL.XLSX,0.0,0.0,0.3,0.0,0.7,0.0,0.3,0.3,0.3,0.0,0.2,0.8,0.0,0.2,1.0,0.8,0.8,1.0,0.8,0.0,0.8,0.3,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0
240516_01_BB206_GA.XLSX,0.0,0.0,0.3,0.0,0.7,0.0,0.3,0.3,0.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.1,0.5,0.4,0.0,0.0,0.0,0.0,0.0
240516_01_BB221_KL.XLSX,0.1,0.4,0.4,0.2,0.2,0.4,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,0.0,0.0,1.0,0.5,0.0,0.1,0.2,0.0,0.0
240516_02_BB212_KL.XLSX,0.2,0.6,0.2,0.0,0.2,0.6,0.2,-0.6,-0.4,0.8,0.2,0.0,0.0,1.0,0.2,-0.8,0.0,0.2,-0.8,0.0,0.4,0.1,0.7,0.1,0.5,0.0,0.0,0.3,0.0,0.0
240516_02_BB213_GA.XLSX,0.0,0.1,0.9,0.9,0.0,0.1,1.0,1.7,0.8,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1,0.5,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
240516_03_BB203_GA.XLSX,0.1,0.5,0.2,0.3,0.2,0.6,0.5,-0.4,-0.4,0.4,0.2,0.4,0.0,0.6,0.6,0.0,0.4,0.6,0.0,0.2,0.0,0.4,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0
240516_03_BB215_KL.XLSX,0.0,0.3,0.3,0.0,0.4,0.3,0.3,0.0,0.0,0.5,0.8,0.0,0.3,1.0,0.8,-0.2857142857142857,0.3,0.8,0.1,0.1,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240516_04_BB202_KL.XLSX,0.0,0.0,0.1,0.0,0.9,0.0,0.1,0.1,0.1,0.3,0.6,0.2,0.3,0.8,0.7,-0.14285714285714285,0.4,0.8,0.2,0.3,0.1,0.0,0.5,0.6,0.1,0.0,0.0,0.1,0.0,0.0
240516_04_BB208_GA.XLSX,0.1,0.5,0.2,0.2,0.2,0.5,0.4,-0.2,-0.2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0,0.2,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0
240516_05_BB205_GA.XLSX,0.0,0.1,0.6,0.0,0.3,0.1,0.6,0.5,0.5,0.3,0.1,0.5,0.1,0.4,0.6,0.2222222222222222,0.6,0.7,0.3,0.0,0.0,0.0,0.5,0.6,0.1,0.0,0.1,0.0,0.0,1.0
240517_01_BC109_SZ.XLSX,0.0,0.0,0.5,0.3,0.3,0.0,0.7,1.0,0.7,0.2,0.3,0.5,0.0,0.5,0.8,0.3,0.5,0.8,0.3,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
240517_01_BC112_SC.XLSX,0.0,0.2,0.3,0.0,0.5,0.2,0.3,0.1,0.1,0.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0
240517_01_BC115_AB.XLSX,0.0,0.0,0.4,0.7,0.1,0.0,0.9,1.6,0.9,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0
240517_02_BC103_SC.XLSX,0.0,0.2,0.2,0.0,0.6,0.2,0.2,0.0,0.0,0.3,0.4,0.3,0.0,0.7,0.7,0.0,0.3,0.7,0.0,0.0,0.1,0.1,0.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0
240517_02_BC104_AB.XLSX,0.1,0.0,0.3,0.0,0.6,0.1,0.3,0.1,0.2,0.0,0.2,0.8,0.0,0.2,1.0,0.8,0.8,1.0,0.8,0.0,0.1,0.3,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0
240517_02_BC104_SZ.XLSX,0.0,0.1,0.3,0.3,0.5,0.1,0.5,0.5,0.3,0.0,0.4,0.6,0.0,0.4,1.0,0.6,0.6,1.0,0.6,0.0,0.2,0.3,0.5,0.1,0.4,0.0,0.1,0.0,0.0,0.0
240517_03_BC107_SZ.XLSX,0.0,0.0,0.3,0.2,0.5,0.0,0.5,0.7,0.5,0.0,0.3,0.7,0.0,0.3,1.0,0.7,0.7,1.0,0.7,0.2,0.7,0.3,0.3,0.9,0.3,0.0,0.0,0.1,0.0,0.0
240517_03_BC108_SC.XLSX,0.0,0.0,0.2,0.1,0.7,0.0,0.3,0.4,0.3,0.3,0.2,0.5,0.0,0.5,0.7,0.2,0.5,0.7,0.2,0.0,0.9,0.1,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.0
240517_03_BC113_AB.XLSX,0.0,0.2,0.3,0.2,0.3,0.2,0.5,0.5,0.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.0,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0
240517_04_BC106_SZ.XLSX,0.0,0.0,0.6,0.0,0.4,0.0,0.6,0.6,0.6,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.3,0.3,0.7,0.0,0.0,0.1,0.0,0.0,0.0
240517_04_BC112_AB.XLSX,0.0,0.0,0.1,0.0,0.9,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
